frame,x,y,score
0,430.0,854.0,0.1094
0,476.0,556.0,0.1412
0,490.0,542.0,0.1143
1,428.0,852.0,0.172
1,448.0,382.0,0.1177
1,476.0,556.0,0.0797
1,488.0,542.0,0.0673
2,430.0,850.0,0.089
2,448.0,384.0,0.0542
2,476.0,556.0,0.1134
2,488.0,544.0,0.0986
2,490.0,560.0,0.0387
5,692.0,416.0,0.1901
6,426.0,830.0,0.0426
6,430.0,848.0,0.0462
6,448.0,390.0,0.038
6,474.0,566.0,0.0835
6,488.0,546.0,0.0639
6,690.0,416.0,0.1201
7,428.0,832.0,0.0466
7,432.0,850.0,0.0437
7,442.0,860.0,0.066
7,476.0,562.0,0.1076
7,488.0,548.0,0.0811
7,688.0,418.0,0.0473
10,476.0,564.0,0.2049
10,686.0,422.0,0.0711
11,430.0,832.0,0.0424
11,434.0,848.0,0.0651
11,450.0,398.0,0.0741
11,476.0,566.0,0.1354
11,490.0,548.0,0.042
11,686.0,426.0,0.068
12,434.0,846.0,0.0712
12,450.0,398.0,0.0612
12,476.0,564.0,0.1894
12,684.0,426.0,0.16
14,430.0,832.0,0.0422
14,434.0,846.0,0.0793
14,476.0,568.0,0.1228
14,488.0,554.0,0.0589
18,432.0,840.0,0.1167
18,474.0,570.0,0.0522
18,488.0,556.0,0.0519
19,432.0,840.0,0.1522
19,474.0,570.0,0.0619
19,488.0,556.0,0.0769
20,434.0,838.0,0.1514
20,474.0,570.0,0.0557
20,488.0,556.0,0.0621
21,434.0,836.0,0.1002
21,474.0,572.0,0.0876
21,488.0,556.0,0.0633
21,972.0,112.0,0.0412
22,434.0,836.0,0.104
22,474.0,570.0,0.1379
22,488.0,556.0,0.0565
22,674.0,436.0,0.0503
22,970.0,112.0,0.0479
23,434.0,834.0,0.1254
23,474.0,570.0,0.1317
23,488.0,556.0,0.0781
23,672.0,438.0,0.1207
23,966.0,112.0,0.0429
24,436.0,836.0,0.105
24,450.0,414.0,0.0377
24,474.0,572.0,0.1013
24,488.0,556.0,0.0406
24,670.0,438.0,0.0776
24,990.0,110.0,0.038
25,434.0,834.0,0.1054
25,474.0,572.0,0.096
25,488.0,558.0,0.0359
25,958.0,114.0,0.0341
26,434.0,834.0,0.0856
26,474.0,572.0,0.1637
27,434.0,834.0,0.079
27,474.0,572.0,0.1047
27,488.0,560.0,0.0532
27,670.0,444.0,0.0523
27,980.0,386.0,0.036
37,436.0,826.0,0.0372
37,474.0,574.0,0.1098
37,486.0,562.0,0.042
37,660.0,452.0,0.0359
37,978.0,150.0,0.0658
37,986.0,174.0,0.0591
37,1008.0,162.0,0.0338
40,434.0,910.0,0.0707
40,436.0,822.0,0.1231
40,474.0,574.0,0.0723
40,922.0,108.0,0.0598
40,986.0,150.0,0.0538
840,504.0,140.0,0.4034
841,504.0,140.0,0.3627
842,268.0,832.0,0.1787
842,512.0,142.0,0.4612
843,270.0,832.0,0.2344
843,512.0,142.0,0.5263
844,516.0,144.0,0.5029
845,518.0,146.0,0.5497
846,520.0,146.0,0.5862
847,522.0,146.0,0.5735
848,280.0,834.0,0.1952
848,526.0,148.0,0.5721
849,282.0,834.0,0.1965
849,528.0,148.0,0.5421
850,284.0,836.0,0.1932
850,530.0,150.0,0.5442
851,286.0,836.0,0.174
851,534.0,150.0,0.5609
852,290.0,842.0,0.303
852,536.0,150.0,0.5392
853,538.0,152.0,0.5578
854,292.0,842.0,0.1859
854,540.0,152.0,0.5315
855,294.0,842.0,0.1838
855,542.0,154.0,0.5882
856,298.0,844.0,0.1745
856,546.0,156.0,0.5574
857,548.0,156.0,0.56
858,550.0,156.0,0.5541
859,304.0,846.0,0.1638
859,554.0,160.0,0.5387
860,306.0,846.0,0.2123
860,556.0,160.0,0.5579
861,558.0,160.0,0.5855
862,312.0,846.0,0.2074
862,562.0,162.0,0.5611
863,564.0,162.0,0.5652
864,568.0,164.0,0.5403
865,568.0,166.0,0.551
866,318.0,848.0,0.1969
866,570.0,166.0,0.5203
867,572.0,168.0,0.527
868,576.0,168.0,0.5417
869,580.0,170.0,0.5503
870,328.0,852.0,0.2316
870,582.0,170.0,0.527
871,584.0,172.0,0.5199
872,586.0,172.0,0.5137
873,588.0,174.0,0.5433
874,592.0,174.0,0.3402
875,596.0,176.0,0.5104
876,598.0,176.0,0.4636
877,600.0,178.0,0.4979
878,602.0,178.0,0.5156
879,352.0,864.0,0.1886
879,606.0,180.0,0.4758
880,354.0,864.0,0.2066
880,610.0,182.0,0.5084
881,354.0,864.0,0.1861
881,612.0,182.0,0.5068
882,356.0,864.0,0.2105
882,616.0,184.0,0.4932
883,360.0,864.0,0.1794
883,622.0,186.0,0.5171
884,628.0,188.0,0.5182
885,364.0,866.0,0.236
885,630.0,188.0,0.5409
886,632.0,188.0,0.5149
887,634.0,190.0,0.5227
888,636.0,190.0,0.4808
889,374.0,872.0,0.2205
889,640.0,192.0,0.4901
890,644.0,192.0,0.4659
891,646.0,192.0,0.5051
892,650.0,194.0,0.4962
893,650.0,196.0,0.4976
894,652.0,196.0,0.4851
895,656.0,196.0,0.4593
896,660.0,198.0,0.4615
897,664.0,200.0,0.5297
898,666.0,200.0,0.504
899,398.0,880.0,0.1815
899,668.0,202.0,0.5415
900,400.0,880.0,0.2
900,670.0,202.0,0.5526
901,672.0,202.0,0.5417
902,678.0,204.0,0.5546
903,680.0,204.0,0.5225
904,680.0,206.0,0.5075
905,682.0,206.0,0.4919
906,684.0,206.0,0.501
907,692.0,208.0,0.477
908,694.0,210.0,0.5003
909,696.0,210.0,0.4903
910,698.0,210.0,0.5183
911,698.0,212.0,0.5177
912,700.0,212.0,0.4468
913,432.0,890.0,0.1786
913,702.0,214.0,0.2949
913,706.0,214.0,0.2704
914,708.0,214.0,0.2635
915,710.0,216.0,0.304
916,712.0,216.0,0.3374
917,714.0,218.0,0.3147
918,718.0,218.0,0.5112
919,720.0,218.0,0.472
920,722.0,220.0,0.5378
921,726.0,220.0,0.5176
922,726.0,222.0,0.5056
923,728.0,222.0,0.4971
924,728.0,222.0,0.4921
925,730.0,224.0,0.4993
926,456.0,896.0,0.1741
926,734.0,224.0,0.4922
927,738.0,226.0,0.4587
928,740.0,226.0,0.4929
929,740.0,226.0,0.4518
930,742.0,228.0,0.4835
931,744.0,230.0,0.5105
932,746.0,230.0,0.5157
933,750.0,232.0,0.4952
934,752.0,232.0,0.5076
935,754.0,232.0,0.5352
936,756.0,234.0,0.541
937,758.0,234.0,0.5391
938,760.0,234.0,0.5128
939,762.0,236.0,0.5211
940,764.0,236.0,0.5037
941,766.0,236.0,0.4698
942,768.0,238.0,0.4567
943,772.0,238.0,0.4578
944,774.0,238.0,0.4503
945,776.0,240.0,0.4732
946,778.0,240.0,0.4733
947,778.0,242.0,0.4945
948,780.0,242.0,0.4659
949,784.0,244.0,0.3907
950,784.0,246.0,0.4627
951,788.0,246.0,0.5025
952,790.0,248.0,0.5358
953,794.0,248.0,0.5152
954,796.0,250.0,0.5434
955,798.0,250.0,0.5024
956,800.0,252.0,0.5176
957,802.0,252.0,0.5175
958,804.0,252.0,0.4876
959,806.0,254.0,0.4756
960,808.0,254.0,0.4882
961,810.0,254.0,0.5065
962,814.0,256.0,0.5159
963,816.0,256.0,0.4791
964,818.0,258.0,0.4741
965,818.0,260.0,0.472
966,820.0,260.0,0.4926
967,822.0,262.0,0.5232
968,824.0,262.0,0.5464
969,826.0,264.0,0.5392
970,828.0,264.0,0.4721
971,832.0,264.0,0.4896
972,836.0,266.0,0.537
973,838.0,266.0,0.4866
974,838.0,268.0,0.526
975,840.0,268.0,0.5075
